Type,City,ZIP,ListPrice,BEDS,BATHS,ImputedSQFT,ParkSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE
Single Family Residential,Arlington Heights,60005,1599000,4,5,4400,3,Garage,351,Yes,Yes,42.067396,-87.973849
Single Family Residential,Arlington Heights,60005,799000,4,4,4000,2,Garage,328,No,No,42.056636,-87.97805
Single Family Residential,Arlington Heights,60004,389000,3,2.5,1800,2,Garage,311,Yes,No,42.119906,-87.959492
Single Family Residential,Arlington Heights,60004,950000,4,4.5,3894,2,Garage,219,No,No,42.108716,-87.991638
Townhouse,Arlington Heights,60004,389000,3,2.5,2428,10,Garage,211,Yes,No,42.0929565,-88.002304
Single Family Residential,Arlington Heights,60005,265000,3,2,2117,2,Garage,210,Yes,No,42.033202,-87.965175
Single Family Residential,Arlington Heights,60004,349999,4,2.5,2150,2,Garage,182,Yes,No,42.15319,-87.99177
Single Family Residential,Arlington Heights,60004,519990,5,2.5,2503,2,Garage,158,No,No,42.112977,-87.960691
Single Family Residential,Arlington Heights,60004,269000,3,1.5,1431,2,Garage,126,Yes,Yes,42.091666,-87.99542
Single Family Residential,Arlington Heights,60005,265000,3,1,1350,1,Garage,123,No,Yes,42.074862,-87.98261
Condo/Coop,Arlington Heights,60004,115900,1,1,906,1,None,119,No,No,42.1193997,-87.993935
Single Family Residential,Arlington Heights,60005,317500,3,2,1629,1,Garage,115,Yes,Yes,42.070712,-87.985821
Single Family Residential,Arlington Heights,60005,397500,3,2.5,1593,1,Garage,112,Yes,Yes,42.074764,-87.980128
Single Family Residential,Arlington Heights,60004,390000,4,2.5,2446,2,Garage,102,Yes,Yes,42.12356,-87.958782
Single Family Residential,Arlington Heights,60004,725000,4,2.5,2635,2,Garage,97,No,No,42.111429,-87.985876
Single Family Residential,Arlington Heights,60004,849000,4,3.5,3407,3,Garage,97,No,No,42.111429,-87.985876
Single Family Residential,Arlington Heights,60005,389000,4,2.5,2300,2,Garage,96,No,Yes,42.054011,-87.984733
Single Family Residential,Arlington Heights,60004,469000,4,2.5,2592,2,Garage,93,Yes,No,42.15324,-87.992079
Single Family Residential,Arlington Heights,60004,1250000,4,5.5,5100,3,Garage,92,No,Yes,42.103157,-87.97944
Single Family Residential,Arlington Heights,60004,780995,4,2,3505,3,Garage,87,No,No,42.0992981,-87.961688
Single Family Residential,Arlington Heights,60004,348998,4,2,1920,2,Garage,87,Yes,No,42.082676,-87.959015
Single Family Residential,Arlington Heights,60005,474925,4,3.5,2800,4,Garage,87,Yes,Yes,42.0887,-88.001056
Single Family Residential,Arlington Heights,60004,706000,4,3,3204,2,Garage,85,No,No,42.080717,-87.956587
Single Family Residential,Arlington Heights,60005,1300000,4,5.5,4400,3,Garage,83,No,Yes,42.066949,-87.972911
Townhouse,Arlington Heights,60005,254900,2,2.5,1368,2,Garage,74,Yes,Yes,42.068254,-88.001839
Townhouse,Arlington Heights,60005,270000,2,3,2025,2,Garage,74,Yes,Yes,42.0462107,-87.986827
Single Family Residential,Arlington Heights,60004,365000,4,2,2323,2,Garage,74,No,No,42.12507,-87.975907
Single Family Residential,Arlington Heights,60004,649900,5,3,2930,2,Garage,68,Yes,Yes,42.094109,-87.972921
Single Family Residential,Arlington Heights,60005,579000,5,3,3281,2,Garage,66,No,No,42.057593,-87.976074
Condo/Coop,Arlington Heights,60005,219900,1,1,1000,1,Garage,65,Yes,No,42.082244,-87.98333
Condo/Coop,Arlington Heights,60005,139900,2,2,1200,1,Garage,64,No,Yes,42.064876,-87.991809
Single Family Residential,Arlington Heights,60004,418000,4,2.5,2631,2,Garage,64,No,No,42.153282,-87.987641
Single Family Residential,Arlington Heights,60005,450000,3,2,1800,2,Garage,64,Yes,Yes,42.0797,-87.982575
Single Family Residential,Arlington Heights,60005,724900,4,2.5,2834,3,Garage,62,No,No,42.072488,-87.993115
Single Family Residential,Arlington Heights,60005,385000,4,3,2784,2,Garage,59,No,No,42.042165,-87.970538
Single Family Residential,Arlington Heights,60004,635000,5,3.5,4000,4,Garage,58,Yes,No,42.11896,-87.975874
Single Family Residential,Arlington Heights,60004,482000,4,2.5,2564,2,Garage,58,Yes,No,42.096014,-87.983477
Single Family Residential,Arlington Heights,60004,899000,5,3.5,4122,3,Garage,56,No,Yes,42.103766,-87.998143
Single Family Residential,Arlington Heights,60004,489900,4,2.5,3072,2,Garage,55,No,Yes,42.123634,-87.97093
Single Family Residential,Arlington Heights,60005,595000,4,4,2441,2,Garage,52,No,Yes,42.074337,-87.985783
