Type,City,ZIP,ListPrice,BEDS,BATHS,ImputedSQFT,ParkSpots,HasGarage,DOM,BeenReduced,SoldPrev,LATITUDE,LONGITUDE
Townhouse,Arlington Heights,60005,155000,3,1.5,866,2,None,853,No,Yes,42.067401,-87.990181
Condo/Coop,Arlington Heights,60005,159000,2,2,1200,2,None,546,No,Yes,42.04242,-87.973687
Single Family Residential,Arlington Heights,60005,569900,4,2.5,2184,1,Garage,381,Yes,Yes,42.07701,-87.97501
Single Family Residential,Arlington Heights,60004,1550000,4,4.5,4200,3,Garage,381,Yes,Yes,42.094795,-87.959104
Single Family Residential,Arlington Heights,60004,575000,4,3.5,3500,2,Garage,343,Yes,No,42.094792,-87.974719
Single Family Residential,Arlington Heights,60004,284900,3,1,1150,2,Garage,337,Yes,Yes,42.107136,-88.002899
Single Family Residential,Arlington Heights,60004,830000,5,3.5,3890,3,Garage,309,No,No,42.100643,-87.968754
Single Family Residential,Arlington Heights,60004,437000,3,2.5,2980,2,Garage,305,Yes,No,42.118101,-87.959258
Single Family Residential,Arlington Heights,60005,779900,4,3,2700,2,Garage,289,No,No,42.079382,-87.988127
Single Family Residential,Arlington Heights,60005,509000,5,2.5,3000,2,Garage,276,No,No,42.070165,-87.968834
Single Family Residential,Arlington Heights,60004,325000,3,2,1629,2,Garage,261,Yes,Yes,42.120058,-87.995435
Single Family Residential,Arlington Heights,60004,225000,2,1,1067,0,None,256,No,Yes,42.098011,-88.00251
Single Family Residential,Arlington Heights,60004,269990,3,1.5,1271,1,Garage,255,Yes,No,42.076937,-87.966181
Townhouse,Arlington Heights,60004,296000,3,2,1629,1,Garage,253,No,No,42.104672,-87.962021
Single Family Residential,Arlington Heights,60004,879900,4,4.5,3580,2,Garage,253,No,Yes,42.096887,-87.988102
Condo/Coop,Arlington Heights,60005,262500,2,2,1500,2,None,248,Yes,No,42.082597,-87.98513
Condo/Coop,Arlington Heights,60005,650000,3,3.5,2500,2,Garage,245,Yes,No,42.0815348,-87.98146
Single Family Residential,Arlington Heights,60004,489000,3,1.5,1456,1,Garage,242,No,No,42.089354,-87.98247
Single Family Residential,Arlington Heights,60005,798900,4,4,3850,3,Garage,235,No,Yes,42.08349,-87.997201
Single Family Residential,Arlington Heights,60004,795000,4,3,3400,3,Garage,230,No,No,42.1122825,-87.988531
Condo/Coop,Arlington Heights,60004,107500,1,1,906,1,Garage,228,Yes,Yes,42.108852,-87.982092
Single Family Residential,Arlington Heights,60004,339000,4,2.5,1323,2,Garage,212,Yes,No,42.120607,-87.957041
Condo/Coop,Arlington Heights,60004,99000,2,2,1382,1,None,163,Yes,Yes,42.123051,-87.967146
Single Family Residential,Arlington Heights,60004,279900,3,2,1629,2,Garage,158,Yes,No,42.110613,-87.956344
Single Family Residential,Arlington Heights,60005,359000,3,1.5,1612,2,Garage,158,No,Yes,42.066964,-87.974441
